Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Ratio (cosolvent : solvent),Additives,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
69,O=C(O)C(F)(F)F,-8.454763881,-3.803197595,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,7
70,CCCC[N+](CCCC)(CCCC)CCCC.[O-]S(=O)(O)=O,20.65699927,-6.799646223,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,3
71,CCCC[N+](CCCC)(CCCC)CCCC.[O-]S(=O)(O)=O,20.65699927,-6.799646223,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,5
72,CCCC[N+](CCCC)(CCCC)CCCC.[O-]S(=O)(O)=O,20.65699927,-6.799646223,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,traces
73,OC1=C(F)C(F)=C(F)C(F)=C1F,-1.42079222,-2.309150602,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,nil
74,OC1=C(F)C(F)=C(F)C(F)=C1F,-1.42079222,-2.309150602,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,nil
75,OC1=C(F)C(F)=C(F)C(F)=C1F,-1.42079222,-2.309150602,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,nil
76,O=P(OC1=CC=CC=C1)(OC2=CC=CC=C2)O,9.947930301,2.833061742,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,19
77,O=P(OC1=CC=CC=C1)(OC2=CC=CC=C2)O,9.947930301,2.833061742,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,20
78,O=P(OC1=CC=CC=C1)(OC2=CC=CC=C2)O,9.947930301,2.833061742,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,16
79,O=P(OC1=CC=C2C(C=CC=C2)=C31)(O)OC4=C3C(C=CC=C5)=C5C=C4,28.40007525,10.99279854,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,16
80,O=P(OC1=CC=C2C(C=CC=C2)=C31)(O)OC4=C3C(C=CC=C5)=C5C=C4,28.40007525,10.99279854,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,16
81,O=P(OC1=CC=C2C(C=CC=C2)=C31)(O)OC4=C3C(C=CC=C5)=C5C=C4,28.40007525,10.99279854,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,13
82,O=P(O)(O)O crystals,-9.726330375,-2.282980298,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,1
83,O=P(O)(O)O crystals,-9.726330375,-2.282980298,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,8
84,O=P(O)(O)O crystals,-9.726330375,-2.282980298,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,12
85,O=P(O)(O)O (85% wt.in H2O),-9.726330375,-2.282980298,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,nil,10,2,1
